"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Check/Uncheck","0","0","Toggle all to completed","0"
"0","","0","Item Counter","8","0","Counter accuracy","0"
"0","","0","Deleting","1","0","Hover reveals delete button","0"
"0","","0","Editing","1","0","Delete by clearing","0"
"0","","0","Check/Uncheck","1","0","Mark as completed","0"
"0","","0","Editing","1","0","Enter edit mode","0"
"0","","0","Adding","1","0","Enter-only submission","0"
"0","","0","Filtering","1","0","Real-time active filter","0"
"0","","1","Check/Uncheck","0","0","Toggle all back to active","0"
"0","","0","Adding","1","0","Single add","0"
"0","","0","Editing","1","0","Save on Enter","0"
"0","","0","Filtering","1","0","Active filter","0"
"0","","0","Adding","3","0","Blank input prevention","0"
"0","","0","Filtering","1","0","Default All view","0"
"0","","0","Filtering","1","0","All filter restores view","0"
"0","","0","Adding","1","0","Input cleared after add","0"
"0","","0","Filtering","1","0","Completed filter","0"
"0","","0","Adding","1","0","Multiple adds","0"
"0","","0","Item Counter","1","0","Footer hidden on empty list","0"
"0","","0","Editing","1","0","Cancel on Escape","0"
"0","","0","Deleting","1","0","Delete all items","0"
"0","","0","Filtering","1","0","Empty state on Active filter","0"
"0","","0","Deleting","1","0","Delete single item","0"
"0","","0","Check/Uncheck","1","0","Unmark completed","0"
